ID,Start time,Completion time,Email,Name,U1,B1,U2,B2,U3,B3,U4,B4,U5,B5,U6,B6,U7,B7,U8,B8,U9,B9,"How much do you agree with the following statement: I am familiar
with the social media network Twitter.",How often do you use Twitter?,How effective do you believe emojis are at expressing one’s emotion?,How impactful do you scale the presence of emojis while interpreting messages that you receive?
,,,,,N,N,C,C,I,I,I,I,C,C,N,N,I,I,C,C,N,N,,,,
1,11/30/22 17:43:23,11/30/22 17:47:11,anonymous,,3,1,3,5,5,6,5,5,5,4,6,5,6,5,5,4,5,4,2,Never,5,5
2,11/30/22 17:46:28,11/30/22 17:47:14,anonymous,,2,4,3,4,2,4,5,1,5,2,2,5,7,6,5,5,6,5,1,many times (5 ) per day,4,2
3,11/30/22 17:44:12,11/30/22 17:49:04,anonymous,,5,2,4,5,7,4,4,5,5,4,3,1,5,4,5,3,5,3,4,Rarely,2,4
4,11/30/22 17:53:24,11/30/22 17:56:53,anonymous,,5,1,7,6,7,7,7,6,4,4,7,5,6,3,7,5,5,3,2,Never,1,4
5,11/30/22 17:58:24,11/30/22 17:59:32,anonymous,,7,1,7,7,5,3,7,7,7,7,4,4,2,6,5,3,3,6,3,Never,3,4
6,11/30/22 17:59:52,11/30/22 18:02:38,anonymous,,7,7,7,7,7,7,7,6,6,6,6,6,6,7,7,7,7,7,3,Never,3,4
7,11/30/22 18:02:40,11/30/22 18:04:31,anonymous,,7,1,4,6,6,6,2,2,2,5,1,1,7,4,1,1,3,3,1,Never,5,5
8,11/30/22 18:05:51,11/30/22 18:11:16,anonymous,,6,4,6,6,5,4,7,7,5,5,6,5,5,5,6,5,6,5,4,Never,4,4
9,11/30/22 18:11:57,11/30/22 18:14:07,anonymous,,7,3,7,7,7,4,7,7,7,7,7,7,5,1,7,7,7,7,3,Never,1,1
10,11/30/22 18:06:17,11/30/22 18:15:13,anonymous,,4,3,6,4,5,5,6,2,3,5,6,5,7,1,6,4,4,3,4,Rarely,5,5
11,11/30/22 18:14:54,11/30/22 18:17:07,anonymous,,6,1,7,5,5,4,6,5,5,5,5,3,4,3,5,4,5,5,3,Never,4,4
12,11/30/22 18:23:03,11/30/22 18:25:35,anonymous,,7,4,7,7,5,4,7,5,7,7,4,7,7,4,7,2,7,5,5,Rarely,4,4
13,11/30/22 18:23:57,11/30/22 18:26:08,anonymous,,5,2,6,5,2,1,2,1,4,2,4,2,3,1,4,3,5,3,2,Rarely,4,3
14,11/30/22 18:36:07,11/30/22 18:39:41,anonymous,,5,3,5,7,7,7,7,4,5,5,3,3,6,6,3,3,5,5,1,Never,3,4
15,11/30/22 18:25:44,11/30/22 18:40:36,anonymous,,5,6,7,6,7,7,4,3,6,5,6,5,7,6,6,5,6,6,3,Never,4,5
16,11/30/22 19:17:28,11/30/22 19:22:43,anonymous,,7,2,5,7,4,4,6,6,3,6,2,3,7,7,2,3,3,6,4,Rarely,3,4
17,11/30/22 19:26:12,11/30/22 19:28:57,anonymous,,6,4,5,5,7,7,7,4,7,7,6,7,7,7,7,5,7,6,5,many times (5 ) per day,5,5
18,11/30/22 19:34:58,11/30/22 19:40:19,anonymous,,7,3,5,5,7,5,7,5,4,3,6,3,6,4,6,4,4,3,1,Never,4,4
